Nom Dalle,Pixels Blancs (Arbres),Pourcentage Verdure (%),Surface Arborée (m2)
18430_51675_5cm_CC46,5983393,5.9834,14958.48
18370_51945_5cm_CC46,9971133,9.9711,24927.83
18465_51675_5cm_CC46,12151041,12.1510,30377.60
18420_51675_5cm_CC46,6598132,6.5981,16495.33
18425_51675_5cm_CC46,4464653,4.4647,11161.63
18435_51675_5cm_CC46,2624266,2.6243,6560.66
18460_51675_5cm_CC46,6937776,6.9378,17344.44
18375_51945_5cm_CC46,11363067,11.3631,28407.67
18445_51675_5cm_CC46,9125292,9.1253,22813.23
18475_51675_5cm_CC46,5481705,5.4817,13704.26
18440_51675_5cm_CC46,6343315,6.3433,15858.29
18415_51675_5cm_CC46,4498778,4.4988,11246.94
18455_51675_5cm_CC46,6513412,6.5134,16283.53
18365_51945_5cm_CC46,22581056,22.5811,56452.64
18470_51675_5cm_CC46,8910788,8.9108,22276.97
18450_51675_5cm_CC46,9122522,9.1225,22806.31
18360_51940_5cm_CC46,24189991,24.1900,60474.98
18365_51940_5cm_CC46,12178351,12.1784,30445.88
18380_51945_5cm_CC46,15504498,15.5045,38761.25
18380_51940_5cm_CC46,14109066,14.1091,35272.67
18380_51935_5cm_CC46,23042008,23.0420,57605.02
18385_51940_5cm_CC46,14780231,14.7802,36950.58
18375_51940_5cm_CC46,30507972,30.5080,76269.93
18360_51935_5cm_CC46,17186899,17.1869,42967.25
18370_51940_5cm_CC46,12636286,12.6363,31590.72
18370_51935_5cm_CC46,7875206,7.8752,19688.01
18355_51935_5cm_CC46,8602978,8.6030,21507.44
18375_51935_5cm_CC46,21450536,21.4505,53626.34
18385_51935_5cm_CC46,36039831,36.0398,90099.58
18365_51935_5cm_CC46,15639732,15.6397,39099.33
18350_51930_5cm_CC46,12610112,12.6101,31525.28
18355_51930_5cm_CC46,23144671,23.1447,57861.68
18380_51930_5cm_CC46,32491471,32.4915,81228.68
18360_51930_5cm_CC46,12486447,12.4864,31216.12
18370_51930_5cm_CC46,12528534,12.5285,31321.33
18385_51930_5cm_CC46,15603063,15.6031,39007.66
18365_51930_5cm_CC46,10651098,10.6511,26627.74
18375_51930_5cm_CC46,7986171,7.9862,19965.43
18390_51930_5cm_CC46,22172175,22.1722,55430.44
18395_51930_5cm_CC46,19254902,19.2549,48137.25
18370_51925_5cm_CC46,11910846,11.9108,29777.12
18360_51925_5cm_CC46,23062409,23.0624,57656.02
18350_51925_5cm_CC46,4487214,4.4872,11218.03
18375_51925_5cm_CC46,7544620,7.5446,18861.55
18365_51925_5cm_CC46,33924549,33.9245,84811.37
18385_51925_5cm_CC46,36830785,36.8308,92076.96
18380_51925_5cm_CC46,21006899,21.0069,52517.25
18355_51925_5cm_CC46,30532774,30.5328,76331.93
18395_51925_5cm_CC46,12945803,12.9458,32364.51
18400_51925_5cm_CC46,10088032,10.0880,25220.08
18390_51925_5cm_CC46,17240644,17.2406,43101.61
18405_51925_5cm_CC46,19512558,19.5126,48781.40
18355_51920_5cm_CC46,6352968,6.3530,15882.42
18345_51920_5cm_CC46,25224513,25.2245,63061.28
18370_51920_5cm_CC46,5105443,5.1054,12763.61
18365_51920_5cm_CC46,23732218,23.7322,59330.54
18385_51920_5cm_CC46,9613915,9.6139,24034.79
18390_51920_5cm_CC46,13266724,13.2667,33166.81
18360_51920_5cm_CC46,53147948,53.1479,132869.87
18350_51920_5cm_CC46,6530003,6.5300,16325.01
18400_51920_5cm_CC46,21933847,21.9338,54834.62
18380_51920_5cm_CC46,21996407,21.9964,54991.02
18395_51920_5cm_CC46,13477013,13.4770,33692.53
18375_51920_5cm_CC46,12502699,12.5027,31256.75
18405_51920_5cm_CC46,24975052,24.9751,62437.63
18435_51920_5cm_CC46,16505563,16.5056,41263.91
18430_51920_5cm_CC46,42703403,42.7034,106758.51
18340_51915_5cm_CC46,23444790,23.4448,58611.97
18345_51915_5cm_CC46,12938273,12.9383,32345.68
18365_51915_5cm_CC46,11462584,11.4626,28656.46
18360_51915_5cm_CC46,44617803,44.6178,111544.51
18350_51915_5cm_CC46,32572676,32.5727,81431.69
18355_51915_5cm_CC46,18476498,18.4765,46191.25
18375_51915_5cm_CC46,11005492,11.0055,27513.73
18380_51915_5cm_CC46,14896379,14.8964,37240.95
18370_51915_5cm_CC46,12543114,12.5431,31357.78
18400_51915_5cm_CC46,11671406,11.6714,29178.51
18390_51915_5cm_CC46,7888679,7.8887,19721.70
18385_51915_5cm_CC46,12960085,12.9601,32400.21
18395_51915_5cm_CC46,3203437,3.2034,8008.59
18405_51915_5cm_CC46,15033387,15.0334,37583.47
18410_51915_5cm_CC46,22444051,22.4441,56110.13
18415_51915_5cm_CC46,20375556,20.3756,50938.89
18420_51915_5cm_CC46,33532533,33.5325,83831.33
18435_51915_5cm_CC46,9737049,9.7370,24342.62
18425_51915_5cm_CC46,14131101,14.1311,35327.75
18440_51915_5cm_CC46,18526323,18.5263,46315.81
18430_51915_5cm_CC46,13428794,13.4288,33571.99
18350_51910_5cm_CC46,25020293,25.0203,62550.73
18345_51910_5cm_CC46,17147573,17.1476,42868.93
18445_51915_5cm_CC46,38858511,38.8585,97146.28
18340_51910_5cm_CC46,20108565,20.1086,50271.41
18355_51910_5cm_CC46,40036158,40.0362,100090.40
18360_51910_5cm_CC46,31666402,31.6664,79166.01
18370_51910_5cm_CC46,17402740,17.4027,43506.85
18365_51910_5cm_CC46,9721835,9.7218,24304.59
18385_51910_5cm_CC46,7400690,7.4007,18501.73
18380_51910_5cm_CC46,19589959,19.5900,48974.90
18400_51910_5cm_CC46,18288620,18.2886,45721.55
18395_51910_5cm_CC46,4735533,4.7355,11838.83
18375_51910_5cm_CC46,15536971,15.5370,38842.43
18425_51910_5cm_CC46,5953613,5.9536,14884.03
18410_51910_5cm_CC46,12392475,12.3925,30981.19
18405_51910_5cm_CC46,16634796,16.6348,41586.99
18415_51910_5cm_CC46,19251573,19.2516,48128.93
18390_51910_5cm_CC46,14720795,14.7208,36801.99
18420_51910_5cm_CC46,20123305,20.1233,50308.26
18440_51910_5cm_CC46,4450989,4.4510,11127.47
18445_51910_5cm_CC46,7347608,7.3476,18369.02
18450_51910_5cm_CC46,8044983,8.0450,20112.46
18430_51910_5cm_CC46,17186548,17.1865,42966.37
18435_51910_5cm_CC46,8995401,8.9954,22488.50
18340_51905_5cm_CC46,14825261,14.8253,37063.15
18345_51905_5cm_CC46,21074579,21.0746,52686.45
18350_51905_5cm_CC46,23141990,23.1420,57854.97
18355_51905_5cm_CC46,40227111,40.2271,100567.78
18360_51905_5cm_CC46,19986761,19.9868,49966.90
18380_51905_5cm_CC46,6052472,6.0525,15131.18
18385_51905_5cm_CC46,4049067,4.0491,10122.67
18370_51905_5cm_CC46,28535700,28.5357,71339.25
18365_51905_5cm_CC46,24160270,24.1603,60400.68
18410_51905_5cm_CC46,13079167,13.0792,32697.92
18415_51905_5cm_CC46,16442174,16.4422,41105.43
18425_51905_5cm_CC46,15977153,15.9772,39942.88
18435_51905_5cm_CC46,16388216,16.3882,40970.54
18440_51905_5cm_CC46,8597079,8.5971,21492.70
18350_51900_5cm_CC46,13522941,13.5229,33807.35
18355_51900_5cm_CC46,30435779,30.4358,76089.45
18345_51900_5cm_CC46,19193800,19.1938,47984.50
18455_51905_5cm_CC46,16653791,16.6538,41634.48
18450_51905_5cm_CC46,22189333,22.1893,55473.33
18370_51900_5cm_CC46,17500059,17.5001,43750.15
18375_51900_5cm_CC46,15325459,15.3255,38313.65
18365_51900_5cm_CC46,14361610,14.3616,35904.03
18380_51900_5cm_CC46,6762182,6.7622,16905.46
18360_51900_5cm_CC46,12448079,12.4481,31120.20
18385_51900_5cm_CC46,8355694,8.3557,20889.24
18390_51900_5cm_CC46,8295449,8.2954,20738.62
18395_51900_5cm_CC46,21104169,21.1042,52760.42
18400_51900_5cm_CC46,15249144,15.2491,38122.86
18405_51900_5cm_CC46,15283868,15.2839,38209.67
18415_51900_5cm_CC46,15531573,15.5316,38828.93
18410_51900_5cm_CC46,10365555,10.3656,25913.89
18420_51900_5cm_CC46,16173223,16.1732,40433.06
18460_51900_5cm_CC46,29833383,29.8334,74583.46
18455_51900_5cm_CC46,25286106,25.2861,63215.26
18450_51900_5cm_CC46,16143638,16.1436,40359.10
18435_51900_5cm_CC46,11607116,11.6071,29017.79
18430_51900_5cm_CC46,12881706,12.8817,32204.26
18440_51900_5cm_CC46,10866872,10.8669,27167.18
18425_51900_5cm_CC46,14075296,14.0753,35188.24
18445_51900_5cm_CC46,14001369,14.0014,35003.42
18360_51895_5cm_CC46,17635800,17.6358,44089.50
18370_51895_5cm_CC46,18570968,18.5710,46427.42
18365_51895_5cm_CC46,24661022,24.6610,61652.56
18400_51895_5cm_CC46,15506325,15.5063,38765.81
18385_51895_5cm_CC46,11061470,11.0615,27653.67
18375_51895_5cm_CC46,13493791,13.4938,33734.48
18380_51895_5cm_CC46,8219277,8.2193,20548.19
18410_51895_5cm_CC46,9997488,9.9975,24993.72
18390_51895_5cm_CC46,10855957,10.8560,27139.89
18405_51895_5cm_CC46,4082172,4.0822,10205.43
18415_51895_5cm_CC46,9445114,9.4451,23612.78
18395_51895_5cm_CC46,6582000,6.5820,16455.00
18420_51895_5cm_CC46,16559665,16.5597,41399.16
18425_51895_5cm_CC46,17270944,17.2709,43177.36
18430_51895_5cm_CC46,27565091,27.5651,68912.73
18440_51895_5cm_CC46,15881133,15.8811,39702.83
18435_51895_5cm_CC46,7511375,7.5114,18778.44
18445_51895_5cm_CC46,21762756,21.7628,54406.89
18450_51895_5cm_CC46,9889551,9.8896,24723.88
18365_51890_5cm_CC46,33064664,33.0647,82661.66
18460_51895_5cm_CC46,23422641,23.4226,58556.60
18360_51890_5cm_CC46,26376552,26.3766,65941.38
18390_51890_5cm_CC46,9526272,9.5263,23815.68
18375_51890_5cm_CC46,16652831,16.6528,41632.08
18400_51890_5cm_CC46,17803141,17.8031,44507.85
18370_51890_5cm_CC46,11542366,11.5424,28855.92
18385_51890_5cm_CC46,19953442,19.9534,49883.61
18380_51890_5cm_CC46,14348850,14.3488,35872.12
18455_51895_5cm_CC46,17879294,17.8793,44698.24
18405_51890_5cm_CC46,4983202,4.9832,12458.01
18410_51890_5cm_CC46,4993196,4.9932,12482.99
18395_51890_5cm_CC46,14966692,14.9667,37416.73
18415_51890_5cm_CC46,23322939,23.3229,58307.35
18420_51890_5cm_CC46,18724961,18.7250,46812.40
18425_51890_5cm_CC46,24017734,24.0177,60044.33
18440_51890_5cm_CC46,17256408,17.2564,43141.02
18435_51890_5cm_CC46,26636110,26.6361,66590.27
18455_51890_5cm_CC46,10146201,10.1462,25365.50
18430_51890_5cm_CC46,17189613,17.1896,42974.03
18445_51890_5cm_CC46,11828990,11.8290,29572.48
18450_51890_5cm_CC46,14474394,14.4744,36185.99
18360_51885_5cm_CC46,13510104,13.5101,33775.26
18365_51885_5cm_CC46,25098253,25.0983,62745.63
18460_51890_5cm_CC46,22735613,22.7356,56839.03
18380_51885_5cm_CC46,13139829,13.1398,32849.57
18375_51885_5cm_CC46,23336239,23.3362,58340.60
18370_51885_5cm_CC46,18898199,18.8982,47245.50
18385_51885_5cm_CC46,13101010,13.1010,32752.53
18390_51885_5cm_CC46,6232286,6.2323,15580.72
18405_51885_5cm_CC46,7471616,7.4716,18679.04
18395_51885_5cm_CC46,16373467,16.3735,40933.67
18410_51885_5cm_CC46,4445668,4.4457,11114.17
18400_51885_5cm_CC46,16844625,16.8446,42111.56
18430_51885_5cm_CC46,16214243,16.2142,40535.61
18415_51885_5cm_CC46,27080431,27.0804,67701.08
18420_51885_5cm_CC46,10981179,10.9812,27452.95
18435_51885_5cm_CC46,16043299,16.0433,40108.25
18440_51885_5cm_CC46,14278220,14.2782,35695.55
18455_51885_5cm_CC46,16029050,16.0291,40072.62
18425_51885_5cm_CC46,18906598,18.9066,47266.50
18445_51885_5cm_CC46,7616771,7.6168,19041.93
18450_51885_5cm_CC46,9078291,9.0783,22695.73
18460_51885_5cm_CC46,14022085,14.0221,35055.21
18470_51885_5cm_CC46,3058010,3.0580,7645.03
18475_51885_5cm_CC46,12274961,12.2750,30687.40
18465_51885_5cm_CC46,8284901,8.2849,20712.25
18350_51880_5cm_CC46,28950385,28.9504,72375.96
18355_51880_5cm_CC46,21164381,21.1644,52910.95
18360_51880_5cm_CC46,19674366,19.6744,49185.92
18385_51880_5cm_CC46,50119887,50.1199,125299.72
18365_51880_5cm_CC46,26525980,26.5260,66314.95
18370_51880_5cm_CC46,17876774,17.8768,44691.93
18390_51880_5cm_CC46,38611627,38.6116,96529.07
18410_51880_5cm_CC46,15924322,15.9243,39810.81
18375_51880_5cm_CC46,24817880,24.8179,62044.70
18395_51880_5cm_CC46,22090931,22.0909,55227.33
18415_51880_5cm_CC46,10693329,10.6933,26733.32
18380_51880_5cm_CC46,20235046,20.2350,50587.61
18405_51880_5cm_CC46,18195254,18.1953,45488.14
18400_51880_5cm_CC46,18723311,18.7233,46808.28
18420_51880_5cm_CC46,14433791,14.4338,36084.48
18425_51880_5cm_CC46,14401987,14.4020,36004.97
18430_51880_5cm_CC46,15135065,15.1351,37837.66
18440_51880_5cm_CC46,13685830,13.6858,34214.57
18435_51880_5cm_CC46,14353342,14.3533,35883.36
18465_51880_5cm_CC46,31694145,31.6941,79235.36
18455_51880_5cm_CC46,33526215,33.5262,83815.54
18475_51880_5cm_CC46,4826269,4.8263,12065.67
18445_51880_5cm_CC46,12751173,12.7512,31877.93
18450_51880_5cm_CC46,10465242,10.4652,26163.10
18470_51880_5cm_CC46,1368656,1.3687,3421.64
18460_51880_5cm_CC46,20166749,20.1667,50416.87
18350_51875_5cm_CC46,25643598,25.6436,64109.00
18345_51875_5cm_CC46,30755844,30.7558,76889.61
18355_51875_5cm_CC46,15431702,15.4317,38579.25
18360_51875_5cm_CC46,26490345,26.4903,66225.86
18365_51875_5cm_CC46,24733258,24.7333,61833.15
18370_51875_5cm_CC46,13703399,13.7034,34258.50
18385_51875_5cm_CC46,56167314,56.1673,140418.29
18375_51875_5cm_CC46,17063473,17.0635,42658.68
18380_51875_5cm_CC46,28722071,28.7221,71805.18
18390_51875_5cm_CC46,48388446,48.3884,120971.12
18400_51875_5cm_CC46,22000067,22.0001,55000.17
18395_51875_5cm_CC46,27991819,27.9918,69979.55
18415_51875_5cm_CC46,20541042,20.5410,51352.61
18405_51875_5cm_CC46,18697963,18.6980,46744.91
18410_51875_5cm_CC46,17234769,17.2348,43086.92
18425_51875_5cm_CC46,7288106,7.2881,18220.26
18430_51875_5cm_CC46,14678217,14.6782,36695.54
18420_51875_5cm_CC46,18727961,18.7280,46819.90
18440_51875_5cm_CC46,14482596,14.4826,36206.49
18435_51875_5cm_CC46,12894519,12.8945,32236.30
18445_51875_5cm_CC46,10414060,10.4141,26035.15
18450_51875_5cm_CC46,16703741,16.7037,41759.35
18455_51875_5cm_CC46,13688626,13.6886,34221.57
18465_51875_5cm_CC46,26356363,26.3564,65890.91
18460_51875_5cm_CC46,20520506,20.5205,51301.26
18470_51875_5cm_CC46,1382667,1.3827,3456.67
18350_51870_5cm_CC46,13673144,13.6731,34182.86
18475_51875_5cm_CC46,3530499,3.5305,8826.25
18345_51870_5cm_CC46,18934337,18.9343,47335.84
18355_51870_5cm_CC46,26963892,26.9639,67409.73
18480_51875_5cm_CC46,20644202,20.6442,51610.51
18365_51870_5cm_CC46,22021806,22.0218,55054.51
18360_51870_5cm_CC46,17591870,17.5919,43979.68
18340_51870_5cm_CC46,21238329,21.2383,53095.82
18375_51870_5cm_CC46,18471569,18.4716,46178.92
18370_51870_5cm_CC46,16747365,16.7474,41868.41
18380_51870_5cm_CC46,35692382,35.6924,89230.96
18385_51870_5cm_CC46,46239133,46.2391,115597.83
18395_51870_5cm_CC46,32012843,32.0128,80032.11
18390_51870_5cm_CC46,46368888,46.3689,115922.22
18400_51870_5cm_CC46,18907357,18.9074,47268.39
18405_51870_5cm_CC46,18821717,18.8217,47054.29
18425_51870_5cm_CC46,12475769,12.4758,31189.42
18415_51870_5cm_CC46,12774805,12.7748,31937.01
18445_51870_5cm_CC46,802462,0.8025,2006.15
18420_51870_5cm_CC46,20900729,20.9007,52251.82
18440_51870_5cm_CC46,16506794,16.5068,41266.99
18430_51870_5cm_CC46,15837363,15.8374,39593.41
18410_51870_5cm_CC46,27656251,27.6563,69140.63
18435_51870_5cm_CC46,12104230,12.1042,30260.58
18450_51870_5cm_CC46,1334623,1.3346,3336.56
18460_51870_5cm_CC46,9824819,9.8248,24562.05
18465_51870_5cm_CC46,13049640,13.0496,32624.10
18455_51870_5cm_CC46,7727995,7.7280,19319.99
18470_51870_5cm_CC46,6114426,6.1144,15286.07
18475_51870_5cm_CC46,17085504,17.0855,42713.76
18340_51865_5cm_CC46,28223595,28.2236,70558.99
18480_51870_5cm_CC46,14331958,14.3320,35829.90
18385_51865_5cm_CC46,40457161,40.4572,101142.90
18345_51865_5cm_CC46,28884791,28.8848,72211.98
18380_51865_5cm_CC46,48985622,48.9856,122464.06
18350_51865_5cm_CC46,18482031,18.4820,46205.08
18375_51865_5cm_CC46,41130653,41.1307,102826.63
18390_51865_5cm_CC46,30565478,30.5655,76413.70
18360_51865_5cm_CC46,9150599,9.1506,22876.50
18370_51865_5cm_CC46,39036556,39.0366,97591.39
18355_51865_5cm_CC46,27046104,27.0461,67615.26
18365_51865_5cm_CC46,16663956,16.6640,41659.89
18395_51865_5cm_CC46,37243226,37.2432,93108.07
18400_51865_5cm_CC46,39695826,39.6958,99239.57
18405_51865_5cm_CC46,36355502,36.3555,90888.76
18410_51865_5cm_CC46,31831033,31.8310,79577.58
18425_51865_5cm_CC46,9156780,9.1568,22891.95
18415_51865_5cm_CC46,19100282,19.1003,47750.71
18435_51865_5cm_CC46,24387545,24.3875,60968.86
18420_51865_5cm_CC46,19121538,19.1215,47803.85
18430_51865_5cm_CC46,15756797,15.7568,39391.99
18445_51865_5cm_CC46,42696519,42.6965,106741.30
18450_51865_5cm_CC46,8234697,8.2347,20586.74
18470_51865_5cm_CC46,10828165,10.8282,27070.41
18455_51865_5cm_CC46,20805027,20.8050,52012.57
18390_51860_5cm_CC46,1852973,1.8530,4632.43
18460_51865_5cm_CC46,23741705,23.7417,59354.26
18440_51865_5cm_CC46,21082221,21.0822,52705.55
18385_51860_5cm_CC46,4219638,4.2196,10549.09
18465_51865_5cm_CC46,33642555,33.6426,84106.39
18475_51865_5cm_CC46,13893184,13.8932,34732.96
18480_51865_5cm_CC46,7923454,7.9235,19808.64
18340_51860_5cm_CC46,21144569,21.1446,52861.42
18345_51860_5cm_CC46,26586033,26.5860,66465.08
18350_51860_5cm_CC46,19388581,19.3886,48471.45
18380_51860_5cm_CC46,44260934,44.2609,110652.34
18365_51860_5cm_CC46,23900343,23.9003,59750.86
18370_51860_5cm_CC46,34719772,34.7198,86799.43
18360_51860_5cm_CC46,11862870,11.8629,29657.17
18355_51860_5cm_CC46,22644573,22.6446,56611.43
18375_51860_5cm_CC46,47239461,47.2395,118098.65
18400_51860_5cm_CC46,35931958,35.9320,89829.90
18395_51860_5cm_CC46,28646483,28.6465,71616.21
18410_51860_5cm_CC46,39730331,39.7303,99325.83
18405_51860_5cm_CC46,59286130,59.2861,148215.33
18415_51860_5cm_CC46,29880507,29.8805,74701.27
18425_51860_5cm_CC46,12013883,12.0139,30034.71
18430_51860_5cm_CC46,17260765,17.2608,43151.91
